DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,Depth_MPt,Thk,Vs,flag_Z1,VsProf_mean,res_tot,res_orig
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,87.0,5.0,745.0,False,542.2337745847717,0.3176869915088778,-6.226979152439796
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,92.0,5.0,825.0,False,567.0601567740921,0.37491799163143824,-6.477706535996793
3,VSPDB,22,Antioch_Toll_Bridge 2155,133.4362001878438,39.5,38.038,-121.752,609.5166074334281,4210.766218972936,12.25,24.5,130.0,False,137.66669982739103,-0.05730109471424427,-0.7156700536839535
3,VSPDB,22,Antioch_Toll_Bridge 2155,133.4362001878438,39.5,38.038,-121.752,609.5166074334281,4210.766218972936,27.0,5.0,150.0,False,227.20475009887102,-0.4152162996575024,-1.4951713008656062
3,VSPDB,22,Antioch_Toll_Bridge 2155,133.4362001878438,39.5,38.038,-121.752,609.5166074334281,4210.766218972936,32.0,5.0,170.0,False,256.07650590232856,-0.4096778139631523,-1.6583273352738663
3,VSPDB,22,Antioch_Toll_Bridge 2155,133.4362001878438,39.5,38.038,-121.752,609.5166074334281,4210.766218972936,37.0,5.0,300.0,False,284.3944694878979,0.05342022316128059,-1.3678373415717884
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,9.75,19.5,130.0,False,120.10238025918079,0.07918990258867886,-0.7794805211469864
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,22.0,5.0,130.0,False,195.4969532922546,-0.40801034466556274,-1.94306074353345
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,27.0,5.0,140.0,False,224.78495625675663,-0.473501772604922,-2.3116997240326596
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,32.0,5.0,150.0,False,253.44207265570486,-0.5244999925886349,-2.6688792691141137
