DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,UTMzone
1,Shi_Asimaki_2018,82,MRC,555.9311038336596,29.9,37.58,-121.9247,594.9457946398472,4159.7602113551175,10S
1,Shi_Asimaki_2018,83,NC.CADB,598.4274764280007,29.0,37.1635,-121.6265,621.9496489077538,4113.893301651772,10S
1,Shi_Asimaki_2018,84,NC.CAL,517.0186609227344,35.0,37.4504,-121.8004,606.1048685572856,4145.51408917282,10S
1,Shi_Asimaki_2018,85,NC.CCOB,417.8984809487505,35.0,37.259,-121.6731,617.6635277768731,4124.429661866571,10S
1,Shi_Asimaki_2018,86,NC.CHR,461.2857095362468,33.5,37.3729,-121.7689,609.0034230409233,4136.9515826410325,10S
1,Shi_Asimaki_2018,87,NC.CNI,501.04533284232804,28.0,37.6079,-121.9644,591.4061654917894,4162.816304286338,10S
1,Shi_Asimaki_2018,88,NC.CSL,377.4500454462902,26.0,37.7241,-122.1193,577.6126727139458,4175.569049579188,10S
1,Shi_Asimaki_2018,89,NC.HCAB,653.8441884587318,30.0,37.025368,-121.484535,634.7996674567191,4098.760170176316,10S
1,Shi_Asimaki_2018,90,NC.JBNB,753.7452896373081,21.0,37.1204,-122.1552,575.0490434564877,4108.562784737511,10S
1,Shi_Asimaki_2018,91,NC.JFP,434.7105253714212,30.0,37.3605,-122.1899,571.7384318102315,4135.17279191015,10S
1,Shi_Asimaki_2018,92,NC.JLAB,472.64646394184325,27.0,37.1543,-121.7347,612.356013087056,4112.738950568301,10S
1,Shi_Asimaki_2018,93,NC.JMBM,581.0783353972224,30.0,37.318607,-122.153145,575.0350030922973,4130.55362501468,10S
1,Shi_Asimaki_2018,94,NC.JSFB,429.768529827809,38.0,37.4037,-122.176,572.9275186986499,4139.976202401813,10S
1,Shi_Asimaki_2018,95,NC.JSGB,374.4133117225387,31.0,37.2839,-122.0503,584.1864055732386,4126.789747288955,10S
