DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,param_vs0_mean,param_k_mean,param_n_mean,param_vs0_med,param_k_med,param_n_med,param_vs0_std,param_k_std,param_n_std,param_vs0_prc0.16,param_k_prc0.16,param_n_prc0.16,param_vs0_prc0.84,param_k_prc0.84,param_n_prc0.84,param_dBr_mean,param_dBr_med,param_dBr_std,param_dBr_prc0.16,param_dBr_prc0.84,sigma_vel_mean,sigma_vel_med,sigma_vel_std,sigma_vel_prc0.16,sigma_vel_prc0.84,ell_dBr_mean,ell_dBr_med,ell_dBr_std,ell_dBr_prc0.16,ell_dBr_prc0.84,omega_dBr_mean,omega_dBr_med,omega_dBr_std,omega_dBr_prc0.16,omega_dBr_prc0.84
1,Shi_Asimaki_2018,22,935,216.9385194479297,33.18,37.8033,-122.4417,549.1480797851683,4184.137888302747,131.13194537531507,0.1193422052591588,1.5028000000000004,131.504,0.119617,1.5028,0.08138729932789761,0.28346422016299233,3.686168629979948e-12,120.929,0.09005405600000001,1.5028,142.216,0.158119,1.5028,0.04973985930709997,0.051901199999999995,0.28028145645292984,-0.22875248,0.32801148,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,23,944,317.87346823094003,61.4,37.8258,-122.2669,564.5166163963995,4186.740583988538,232.00251044024242,0.09176854810340059,2.099110000000001,232.365,0.0918412,2.09911,0.04211994173547271,0.21296370935378883,2.0818936856027945e-12,222.477,0.07426123600000001,2.09911,241.92816,0.113436,2.09911,-0.7293457592770366,-0.7284200000000001,0.2178219993535802,-0.94626564,-0.5126185200000001,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,24,945,287.5144489870996,61.4,37.8297,-122.2656,564.6276230323592,4187.174191867923,207.3917195457172,0.08393326097926262,1.9016999999999988,207.765,0.0840234,1.9017,0.046171811719029246,0.22138898261138248,4.487084854806023e-12,198.117,0.0673733,1.9017,217.124,0.104536,1.9017,-0.6474801972750983,-0.6463895,0.2255512237182863,-0.8712034799999999,-0.423237,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,25,946,264.3449761629772,81.2,37.8253,-122.2658,564.6138594233817,4186.685868685519,193.56612194956477,0.06987412893302943,1.7605099999999985,193.934,0.0699604,1.76051,0.0455344594140024,0.21986358213806492,5.879750938007892e-12,185.017,0.056180752,1.76051,202.50915999999998,0.086926548,1.76051,-0.7085293407062245,-0.7077445,0.22462690055987555,-0.93202616,-0.48478636,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,26,947,240.4678524808594,151.0,37.8258,-122.2684,564.384606789332,4186.7395491513,176.95197188923402,0.06104890465093418,1.6250599999999995,177.3515,0.061048649999999996,1.62506,0.04553828478456255,0.2173602737684602,5.799148612082784e-12,169.107,0.049187156,1.62506,185.13616,0.0758285,1.62506,-0.72632514326622,-0.726056,0.22230375703496888,-0.94754116,-0.50466084,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,27,948,295.28026549861335,81.2,37.2389,-122.2683,564.9000166647296,4121.625640088739,192.6644131956165,0.1355302659502224,1.9509599999999996,193.321,0.1354345,1.95096,0.07213817125202851,0.30001677664257176,3.438144392904615e-12,179.286,0.100577,1.95096,207.009,0.18276848,1.95096,-0.21098275781600428,-0.21113,0.2958662733974935,-0.5044133199999999,0.08337206400000001,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,28,949,141.72696454361594,61.0,37.8224,-122.3197,559.8726315931519,4186.32820127705,104.92310788456074,0.03970932012434414,1.1979499999999994,105.128,0.0398422,1.19795,0.04712731209776255,0.2135722159946206,1.5039106156770187e-12,100.131,0.032109984,1.19795,109.967,0.049072532,1.19795,-0.7872563640354835,-0.78406,0.2194349317294046,-1.00528,-0.56971936,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,29,950,518.8851253207366,36.0,37.8081,-122.3661,555.7997260661446,4184.712891646169,231.0210836326479,2.83594504135528,3.5586600000000024,231.157,2.82871,3.55866,0.05330174365186228,0.25450999817579234,1.1617837181965593e-11,219.1,2.2027,3.55866,243.589,3.65137,3.55866,1.4296414673733338,1.42728,0.25384999173390316,1.17773,1.6816916,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,30,951,1260.7346288076412,54.0,37.8085,-122.3658,555.8258330063705,4184.757450865861,570.5199783267918,49.28957921234098,6.750570000000003,570.608,49.1872,6.75057,0.03309699726439758,0.2762106204775129,3.4722505010646605e-11,551.986,37.4421,6.75057,589.632,64.92558,6.75057,1.3989661709433334,1.39654,0.2533494064988976,1.1465884,1.65096,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,31,952,220.49343570125265,57.0,37.807,-122.367,555.7213283786339,4184.590309534346,81.98800325592619,0.5216346441517062,1.5205100000000011,82.09165,0.5207025000000001,1.52051,0.09254780193319236,0.2531397943971993,1.9055899754525576e-12,74.7585,0.4057992,1.52051,89.894248,0.6710083200000001,1.52051,1.5093958981966662,1.50797,0.25491309449841576,1.25597,1.76251,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
